Movie_ID,Title,Genre,Release_Date,Budget,Box_Office,IMDB_Rating,RottenTomatoes,Duration_Minutes,Language,Country,Director
118,The Warrior,Thriller,2018/09/26,139238641,"$94,841,993",not rated,,,english,France,Raj Mehra
119,Dark Kingdom,Horror,2020/12/20,203.5M,873189025,NaN,61%,,English,Canada,Alan Smith
120,Return of Empire,HORROR,21/05/2020,76277782,"$370,085,925",8.6,42%,109.0,French,UK,Alan Smith
121,Return of Revenge,Horror,2021/11/09,$45649519,"$107,656,196",not rated,,,Hindi,India,Alan Smith
122,Legend of Dreams,Romance,January 31 2023,249846464,"$724,322,835",NaN,,,Hindi,Australia,Sophie Laurent
123,Dark Journey,Drama,April 14 2021,190.3M,$698811113,not rated,,129.0,Hindi,USA,James Holloway
124,Battle of Night,Thriller,16/05/2020,"$196,700,843",168.3M,not rated,57%,98.0,english,USA,Emily Stone
125,Return of Empire,action,August 20 2019,247983530,$716594709,7.9,40%,,French,Australia,Sophie Laurent
126,Dark Night,Romance,2015-08-31,"$207,913,329",$1005804259,9.1,66%,,French,India,Emily Stone
127,The Empire,comedy,2021-05-15,239.2M,1116.2M,not rated,,,Hindi,India,John Carter
128,Battle of Night,Thriller,2017-02-01,93.8M,115.4M,7.3,,,English,France,Emily Stone
129,Shadow of Journey,Drama,2017-10-13,30.6M,40750688,NaN,,159.0,Hindi,Australia,James Holloway
130,Rise of Journey,comedy,2016/10/16,191.0M,$298545240,NaN,63%,113.0,French,India,Alan Smith
131,Dark Revenge,Thriller,2021/02/27,"$205,718,541","$1,018,259,633",not rated,95%,,Spanish,Australia,James Holloway
132,Rise of Empire,Horror,01/09/2020,"$25,965,538","$120,158,154",not rated,68%,172.0,Spanish,France,John Carter
133,The Journey,ACTION,2020/10/03,246293773,$688807108,not rated,,177.0,French,UK,John Carter
134,Rise of Empire,Sci-Fi,2018-11-12,$205200367,$303810611,NaN,,137.0,english,Australia,Emily Stone
135,Dark Revenge,SciFi,2019/03/27,$178377310,"$862,814,892",NaN,47%,,Spanish,India,Emily Stone
136,The Night,SciFi,2022/07/21,64777949,"$275,740,117",NaN,,109.0,English,Australia,Alan Smith
137,The Galaxy,Comedy,2015-10-03,$170067190,671296117,not rated,95%,116.0,French,France,Sophie Laurent
138,The Warrior,Horror,30/03/2018,149.9M,221.5M,5.7,82%,,Hindi,USA,Raj Mehra
139,Shadow of Revenge,Horror,2020-07-23,163.8M,730446048,NaN,,137.0,Hindi,France,Sophie Laurent
140,Return of Galaxy,comedy,08/12/2022,207512029,$606075649,NaN,75%,134.0,Hindi,India,James Holloway
141,Battle of Dreams,action,02/01/2021,$178598781,152.8M,not rated,78%,94.0,Spanish,Australia,Emily Stone
142,Return of Dreams,comedy,04/03/2015,"$155,015,283",$228891590,NaN,98%,174.0,French,India,Raj Mehra
143,Love in Journey,Horror,April 11 2022,91.3M,364.4M,NaN,69%,,Hindi,India,James Holloway
144,Return of Warrior,Action,2017/12/04,89.0M,"$210,277,533",5.5,64%,,Hindi,France,Emily Stone
145,Battle of Warrior,Thriller,13/12/2018,"$177,253,542",678557295,not rated,81%,152.0,English,Australia,John Carter
146,Shadow of Galaxy,action,06/12/2022,$210175647,"$111,125,583",NaN,,,English,USA,Raj Mehra
147,The Kingdom,Thriller,January 30 2018,$153080690,359896266,8.5,46%,152.0,english,India,Raj Mehra
148,Dark Night,Sci-Fi,November 20 2015,146319453,239361342,not rated,,172.0,English,USA,Alan Smith
149,Battle of Empire,Romance,08/02/2015,$106807911,234685077,not rated,,157.0,Spanish,USA,Sophie Laurent
150,Battle of Night,Action,November 01 2015,$61751833,"$281,324,574",NaN,41%,160.0,French,USA,James Holloway
151,Love in Kingdom,Drama,22/04/2019,$48607406,147.7M,NaN,54%,,Hindi,USA,Emily Stone
152,Battle of Journey,Comedy,2018/12/28,78370664,"$315,517,677",not rated,64%,,english,Australia,John Carter
153,Love in Warrior,Thriller,May 15 2019,27.0M,$46095979,NaN,,119.0,english,USA,Sophie Laurent
154,Legend of Kingdom,Sci-Fi,2016-02-28,$120690182,304.1M,not rated,,134.0,Hindi,France,Alan Smith
155,Legend of Galaxy,HORROR,04/11/2020,214156615,"$188,703,635",NaN,,103.0,english,France,James Holloway
156,Rise of Dreams,comedy,2017/10/07,"$118,038,798",218240179,NaN,,,Hindi,France,James Holloway
157,Shadow of Night,Drama,06/10/2021,120592660,502.8M,NaN,,,Spanish,India,James Holloway
158,Love in Dreams,action,28/04/2021,"$105,946,576",$186609071,NaN,85%,,English,France,Emily Stone
159,Last Galaxy,comedy,21/05/2022,139030686,156591103,not rated,,,Spanish,USA,James Holloway
160,Legend of Secrets,Romance,2015-12-15,"$193,343,519",875.8M,not rated,,,English,USA,John Carter
161,Legend of Kingdom,HORROR,17/09/2022,74454553,111.6M,not rated,77%,129.0,French,USA,James Holloway
162,Rise of Destiny,Thriller,August 03 2016,116.7M,541.6M,6.8,,,English,France,Emily Stone
163,Rise of Night,Action,2022-12-21,$192035965,487.0M,not rated,91%,179.0,Spanish,India,Raj Mehra
164,Love in Journey,Comedy,18/07/2019,"$47,986,102",95466116,not rated,79%,,French,USA,Emily Stone
165,Rise of Secrets,action,08/01/2021,62.7M,89.4M,5.5,,,Spanish,France,Raj Mehra
166,Dark Dreams,SciFi,03/12/2021,110.4M,$346738269,NaN,47%,124.0,english,UK,Emily Stone
167,Love in Secrets,ACTION,2021/06/12,42945645,"$120,192,488",not rated,84%,156.0,French,UK,Sophie Laurent
168,Battle of Secrets,Action,2019-01-10,55223892,"$105,787,443",NaN,,,French,Australia,Alan Smith
169,The Galaxy,comedy,May 14 2015,"$136,184,277",170.6M,NaN,,155.0,Spanish,USA,James Holloway
170,Dark Kingdom,Action,2023/01/23,"$213,067,819",627266933,not rated,88%,123.0,French,UK,James Holloway
171,Battle of Destiny,Comedy,May 09 2017,236444949,"$987,223,543",7.6,92%,,Spanish,UK,Raj Mehra
172,Last Night,HORROR,2017-12-31,"$149,624,581",188182557,NaN,95%,174.0,english,India,Emily Stone
173,Love in Journey,ACTION,June 23 2021,91462177,386717460,not rated,90%,,Hindi,France,Alan Smith
174,Rise of Journey,Romance,June 13 2022,$92856046,289599431,NaN,92%,,Hindi,UK,James Holloway
175,Battle of Dreams,Romance,2015-07-18,$151917552,471050963,4.6,,,english,Australia,Sophie Laurent
176,Shadow of Night,action,May 05 2022,241.8M,$828161048,not rated,50%,,english,France,Emily Stone
177,The Galaxy,SciFi,16/11/2015,"$29,481,095",108096596,not rated,61%,139.0,French,USA,Sophie Laurent
178,Rise of Destiny,Drama,February 14 2019,"$107,829,551",97261162,8.4,81%,93.0,Spanish,Australia,Sophie Laurent
179,Return of Warrior,Sci-Fi,2021/11/28,"$123,138,288",$256170089,9.0,88%,,Hindi,France,James Holloway
180,Last Destiny,Comedy,March 16 2021,$217353024,245.4M,not rated,72%,,Hindi,Australia,John Carter
181,Return of Journey,Sci-Fi,06/04/2016,215400138,$978047271,7.1,,,Spanish,France,James Holloway
182,Battle of Destiny,Action,2021-08-02,$151661381,541.9M,5.6,,,Spanish,France,Alan Smith
183,Legend of Kingdom,HORROR,September 17 2016,$193390858,446.8M,4.9,91%,,French,Canada,Emily Stone
184,Rise of Night,Thriller,27/11/2019,$209876417,"$893,101,622",NaN,,163.0,Hindi,Australia,Emily Stone
185,Rise of Empire,Thriller,2016-07-16,"$181,644,584",696236753,not rated,,,english,Australia,James Holloway
186,The Dreams,Sci-Fi,2018-01-19,201.7M,$905610687,not rated,63%,148.0,Hindi,India,James Holloway
187,Rise of Galaxy,Thriller,2020-09-15,$212588911,$204738452,NaN,,104.0,English,Canada,Emily Stone
188,Return of Dreams,Comedy,September 01 2019,203.8M,$703317848,7.4,72%,107.0,Spanish,USA,Alan Smith
189,Last Night,Drama,2015/12/20,$23502299,104.5M,not rated,,179.0,French,UK,Raj Mehra
190,Return of Kingdom,Comedy,2016-09-08,137435497,$685808905,NaN,80%,127.0,French,Australia,Emily Stone
191,Legend of Galaxy,Sci-Fi,2020-07-08,"$87,546,759",84.7M,5.0,,,French,Australia,John Carter
192,Shadow of Revenge,action,2021-08-21,160899429,"$149,651,999",NaN,,,Hindi,France,James Holloway
193,Return of Warrior,HORROR,22/03/2016,$67709536,"$56,611,500",NaN,66%,,english,France,James Holloway
194,Rise of Destiny,ACTION,September 11 2022,$129378654,"$218,977,986",NaN,49%,176.0,Hindi,France,Raj Mehra
195,Last Warrior,Action,2019/07/15,"$18,140,081",$64348766,6.8,47%,92.0,english,India,Alan Smith
196,Rise of Secrets,HORROR,2017-11-26,$104922345,$376491138,not rated,68%,,English,USA,Alan Smith
197,Love in Revenge,SciFi,2015/05/01,18592954,"$23,351,847",6.3,,142.0,English,Canada,Raj Mehra
198,Last Journey,Sci-Fi,2021/03/05,$170618546,$274018760,5.9,66%,167.0,Spanish,USA,Alan Smith
199,Battle of Kingdom,SciFi,November 10 2018,214893915,797.3M,NaN,78%,,English,France,Raj Mehra
200,Return of Warrior,action,12/10/2017,100.9M,$398822985,8.3,,130.0,english,India,Raj Mehra
201,Dark Secrets,Action,November 21 2022,"$90,363,647","$373,016,256",NaN,,,English,USA,John Carter
202,The Kingdom,SciFi,January 03 2015,"$67,444,356","$216,326,594",6.2,,92.0,english,Canada,Emily Stone
203,Legend of Dreams,action,2019/03/11,$43024597,171.4M,6.0,,,Hindi,India,Emily Stone
204,Dark Galaxy,Romance,09/08/2021,155854635,564.4M,NaN,48%,178.0,Spanish,France,Raj Mehra
205,Dark Secrets,Comedy,2022-03-04,13692676,"$18,065,677",6.2,,125.0,English,Australia,Emily Stone
206,Dark Journey,Action,22/12/2017,"$176,557,821",$667704030,6.3,86%,,French,Australia,Alan Smith
207,Battle of Revenge,Drama,2021/02/14,$49651135,222461115,not rated,81%,,English,USA,James Holloway
208,Rise of Destiny,Drama,2016/11/27,"$10,389,647",$20095926,7.2,,175.0,French,Australia,Sophie Laurent
209,Shadow of Empire,action,18/09/2018,"$168,025,583",756768695,not rated,,,Hindi,India,John Carter
210,Legend of Journey,ACTION,August 12 2015,$18323913,41559733,not rated,,110.0,English,India,Sophie Laurent
211,Rise of Journey,action,2018/06/17,176313000,319682197,NaN,,,French,UK,Sophie Laurent
212,Battle of Journey,comedy,July 15 2017,$124661889,"$87,360,080",not rated,46%,,Spanish,France,Raj Mehra
213,Love in Kingdom,Sci-Fi,2021/01/02,"$66,072,491",197636601,NaN,97%,149.0,English,France,Sophie Laurent
214,Return of Warrior,Action,2019-10-01,49872955,"$243,117,786",not rated,,125.0,English,France,Raj Mehra
215,Last Kingdom,SciFi,2015/02/20,$111664169,333233110,not rated,77%,98.0,Hindi,Canada,James Holloway
216,Love in Journey,HORROR,2021/10/30,$240657758,"$565,306,317",5.9,,,Hindi,Australia,Sophie Laurent
217,Last Dreams,Action,October 15 2018,18.2M,70.3M,not rated,83%,114.0,Hindi,Australia,Alan Smith
218,Last Revenge,HORROR,2022-03-29,"$212,777,336",897112866,NaN,,,English,Canada,Sophie Laurent
219,Legend of Revenge,ACTION,2020-11-17,"$22,613,920","$42,967,667",8.9,93%,116.0,French,USA,James Holloway
220,Dark Journey,Horror,2019-06-14,$194148734,"$271,030,463",not rated,68%,,Hindi,India,James Holloway
221,Rise of Night,Action,2019-05-03,"$206,047,723","$873,418,970",not rated,54%,,Spanish,USA,Emily Stone
222,Shadow of Warrior,HORROR,04/02/2015,7.4M,19.5M,not rated,,,Hindi,France,James Holloway
223,Legend of Secrets,Sci-Fi,2021-07-22,$63575047,165.3M,not rated,,123.0,French,USA,James Holloway
224,Last Night,Romance,December 22 2022,"$79,217,907","$267,968,540",7.1,97%,,Hindi,Australia,Sophie Laurent
225,Battle of Night,comedy,2019/09/11,198617984,$122060427,not rated,92%,128.0,Spanish,Australia,Alan Smith
226,Dark Kingdom,comedy,27/11/2016,248.3M,$1175412905,not rated,56%,,English,India,James Holloway
227,Last Revenge,Drama,March 03 2019,64.9M,249985620,NaN,43%,145.0,Spanish,USA,Emily Stone
228,Love in Empire,ACTION,16/07/2016,107.5M,309925402,NaN,,176.0,English,France,James Holloway
229,Dark Empire,Action,January 26 2020,"$174,391,569","$861,473,716",7.4,71%,,French,France,Alan Smith
230,The Kingdom,Comedy,March 12 2023,$133151160,296.3M,not rated,52%,171.0,english,India,Emily Stone
231,Shadow of Destiny,Sci-Fi,August 23 2020,"$240,413,905",$492746084,NaN,,,French,Australia,Sophie Laurent
232,Battle of Dreams,Comedy,2016/11/06,$97001644,"$483,322,827",5.6,53%,160.0,English,UK,Emily Stone
233,Love in Night,Horror,2021-12-27,$179628103,$730111393,7.8,43%,,French,USA,Raj Mehra
234,Shadow of Galaxy,Thriller,2022-09-09,72.8M,191927957,not rated,,164.0,French,USA,Raj Mehra
235,Last Destiny,action,31/07/2020,"$197,942,338",649.2M,8.7,,122.0,English,Canada,Alan Smith
236,Battle of Dreams,Comedy,2015-01-12,$249371996,$357754783,not rated,71%,96.0,English,UK,Emily Stone
237,Last Night,SciFi,2015-07-25,"$67,051,616",$171342395,NaN,,139.0,English,USA,John Carter
238,Shadow of Dreams,Drama,November 28 2019,$233706666,262.4M,8.6,,,Hindi,France,Emily Stone
239,Love in Warrior,action,2016-06-26,"$233,350,413",$618869225,not rated,,,Hindi,Canada,John Carter
240,Shadow of Journey,SciFi,2016/04/07,236545921,$846855355,not rated,60%,175.0,Hindi,Canada,Raj Mehra
241,Rise of Revenge,Romance,24/02/2023,189748458,693.1M,not rated,64%,156.0,English,Australia,Sophie Laurent
242,Battle of Warrior,action,July 06 2020,"$140,712,261",607.8M,9.4,72%,,French,India,John Carter
243,Battle of Destiny,SciFi,January 06 2020,$128237266,320445684,8.2,,137.0,Spanish,Canada,John Carter
244,Last Kingdom,Horror,2017/04/27,226.7M,206.1M,8.6,,,Hindi,Australia,Alan Smith
245,Return of Empire,Drama,December 25 2018,35.6M,$33416837,4.7,71%,,English,UK,Raj Mehra
246,Love in Galaxy,SciFi,February 19 2017,$57592269,77400859,not rated,93%,,Spanish,Canada,Sophie Laurent
247,The Kingdom,Sci-Fi,2021/07/24,"$138,903,294","$72,162,945",8.2,,,Spanish,France,Alan Smith
248,Return of Night,Sci-Fi,November 05 2018,168475498,"$778,625,702",not rated,,,Spanish,Australia,Sophie Laurent
249,Last Dreams,Romance,27/06/2016,58.9M,$85071528,not rated,,,French,USA,Raj Mehra
250,Shadow of Empire,Romance,20/08/2015,33.6M,"$20,609,148",not rated,56%,,english,Canada,John Carter
251,Rise of Secrets,Romance,20/04/2021,101283083,"$421,653,423",not rated,58%,,French,Australia,James Holloway
252,Last Galaxy,HORROR,20/12/2019,153.2M,"$113,698,518",8.4,,107.0,english,India,Emily Stone
253,The Revenge,comedy,March 29 2021,"$142,934,714","$148,236,469",NaN,,144.0,English,India,James Holloway
254,Last Journey,HORROR,March 03 2021,$165223845,120.4M,7.1,73%,149.0,French,Canada,Raj Mehra
255,Return of Galaxy,Romance,September 21 2018,113.3M,103.5M,not rated,,156.0,English,Australia,James Holloway
